"Fact","Fact Note","Yuba County, California","Value Note for Yuba County, California","Yolo County, California","Value Note for Yolo County, California","Ventura County, California","Value Note for Ventura County, California","Tuolumne County, California","Value Note for Tuolumne County, California"
"Population estimates, July 1, 2019,  (V2019)","","78,668","","220,500","","846,006","","54,478",""
"Population estimates base, April 1, 2010,  (V2019)","","72,142","","200,855","","823,398","","55,368",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","9.0%","","9.8%","","2.7%","","-1.6%",""
"Population, Census, April 1, 2010","","72,155","","200,849","","823,318","","55,365",""
"Persons under 5 years, percent","","7.8%","","5.3%","","5.7%","","4.4%",""
"Persons under 18 years, percent","","27.4%","","20.8%","","22.6%","","16.8%",""
"Persons 65 years and over, percent","","13.1%","","12.9%","","16.2%","","27.0%",""
"Female persons, percent","","49.4%","","51.5%","","50.5%","","48.2%",""
"White alone, percent","","78.4%","","74.0%","","84.1%","","90.3%",""
"Black or African American alone, percent","(a)","4.5%","","3.0%","","2.4%","","2.0%",""
"American Indian and Alaska Native alone, percent","(a)","2.9%","","1.8%","","1.9%","","2.3%",""
"Asian alone, percent","(a)","7.3%","","15.1%","","7.9%","","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.6%","","0.6%","","0.3%","","0.3%",""
"Two or More Races, percent","","6.4%","","5.6%","","3.5%","","3.6%",""
"Hispanic or Latino, percent","(b)","29.1%","","31.9%","","43.2%","","12.7%",""
"White alone, not Hispanic or Latino, percent","","54.0%","","46.0%","","44.7%","","79.7%",""
"Veterans, 2015-2019","","5,882","","7,678","","39,781","","5,190",""
"Foreign born persons, percent, 2015-2019","","12.8%","","23.2%","","21.8%","","4.8%",""
"Housing units,  July 1, 2019,  (V2019)","","29,049","","79,263","","291,512","","31,700",""
"Owner-occupied housing unit rate, 2015-2019","","60.5%","","51.6%","","63.2%","","71.3%",""
"Median value of owner-occupied housing units, 2015-2019","","$257,100","","$424,900","","$588,400","","$289,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,677","","$2,225","","$2,567","","$1,748",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$446","","$580","","$617","","$571",""
"Median gross rent, 2015-2019","","$1,002","","$1,324","","$1,776","","$1,009",""
"Building permits, 2019","","538","","895","","1,146","","66",""
"Households, 2015-2019","","26,354","","74,296","","271,040","","22,502",""
"Persons per household, 2015-2019","","2.84","","2.81","","3.08","","2.24",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","83.1%","","79.3%","","89.7%","","83.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","25.3%","","38.0%","","38.4%","","7.9%",""
"Households with a computer, percent, 2015-2019","","90.5%","","94.0%","","92.7%","","90.5%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","83.1%","","88.3%","","88.2%","","82.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","82.3%","","86.5%","","85.0%","","90.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","17.1%","","41.4%","","33.8%","","20.5%",""
"With a disability, under age 65 years, percent, 2015-2019","","11.2%","","6.0%","","6.8%","","14.2%",""
"Persons  without health insurance, under age 65 years, percent","","7.8%","","6.8%","","9.4%","","6.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","56.1%","","60.1%","","65.0%","","48.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","50.5%","","56.1%","","59.1%","","47.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","54,774","","656,580","","1,597,442","","92,814",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","396,851","","846,965","","3,987,634","","345,557",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","107,200","","2,538,431","","8,333,976","","173,104",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D","","6,762,093","","D","","D",""
"Total retail sales, 2012 ($1,000)","(c)","390,218","","1,968,762","","11,194,185","","573,262",""
"Total retail sales per capita, 2012","(c)","$5,351","","$9,645","","$13,390","","$10,614",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","30.0","","24.0","","27.2","","26.9",""
"Median household income (in 2019 dollars), 2015-2019","","$58,054","","$70,228","","$88,131","","$60,108",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$25,583","","$34,515","","$38,595","","$34,702",""
"Persons in poverty, percent","","15.2%","","16.9%","","8.2%","","11.3%",""
"Total employer establishments, 2018","","798","","4,195","","21,344","","1,281",""
"Total employment, 2018","","10,096","","67,490","","264,123","","12,741",""
"Total annual payroll, 2018 ($1,000)","","471,655","","3,299,921","","14,565,661","","542,100",""
"Total employment, percent change, 2017-2018","","-2.1%","","2.3%","","2.3%","","-0.7%",""
"Total nonemployer establishments, 2018","","3,742","","13,931","","70,479","","4,246",""
"All firms, 2012","","3,432","","13,884","","76,285","","4,466",""
"Men-owned firms, 2012","","1,687","","6,840","","39,995","","2,140",""
"Women-owned firms, 2012","","1,357","","5,186","","26,682","","1,484",""
"Minority-owned firms, 2012","","958","","4,258","","25,161","","350",""
"Nonminority-owned firms, 2012","","2,345","","8,826","","48,210","","3,939",""
"Veteran-owned firms, 2012","","311","","1,078","","5,861","","444",""
"Nonveteran-owned firms, 2012","","2,935","","11,829","","67,137","","3,596",""
"Population per square mile, 2010","","114.2","","197.9","","446.7","","24.9",""
"Land area in square miles, 2010","","631.84","","1,014.69","","1,843.13","","2,220.88",""
"FIPS Code","","""06115""","","""06113""","","""06111""","","""06109""",""
"","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","",""
"","","","","","","","","",""
"Value Notes","","","","","","","","",""
"None","","","","","","","","",""
"","","","","","","","","",""
"Fact Notes","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","",""
"","","","","","","","","",""
"Value Flags","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","",""
"X","Not applicable","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","",""
"NA","Not available","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","",""
