"Fact","Fact Note","Merced County, California","Value Note for Merced County, California","Mendocino County, California","Value Note for Mendocino County, California","Mariposa County, California","Value Note for Mariposa County, California","Marin County, California","Value Note for Marin County, California","Madera County, California","Value Note for Madera County, California","Los Angeles County, California","Value Note for Los Angeles County, California"
"Population estimates, July 1, 2019,  (V2019)","","277,680","","86,749","","17,203","","258,826","","157,327","","10,039,107",""
"Population estimates base, April 1, 2010,  (V2019)","","255,796","","87,850","","18,247","","252,430","","150,834","","9,819,968",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","8.6%","","-1.3%","","-5.7%","","2.5%","","4.3%","","2.2%",""
"Population, Census, April 1, 2010","","255,793","","87,841","","18,251","","252,409","","150,865","","9,818,605",""
"Persons under 5 years, percent","","7.7%","","5.7%","","4.2%","","4.5%","","7.3%","","5.8%",""
"Persons under 18 years, percent","","29.3%","","21.1%","","16.1%","","19.8%","","27.4%","","21.4%",""
"Persons 65 years and over, percent","","11.4%","","23.1%","","28.9%","","23.0%","","14.3%","","14.1%",""
"Female persons, percent","","49.5%","","50.4%","","49.1%","","51.1%","","51.8%","","50.7%",""
"White alone, percent","","82.2%","","86.1%","","89.3%","","85.3%","","85.9%","","70.7%",""
"Black or African American alone, percent","(a)","3.9%","","1.1%","","1.3%","","2.8%","","4.2%","","9.0%",""
"American Indian and Alaska Native alone, percent","(a)","2.5%","","6.3%","","3.5%","","1.0%","","4.4%","","1.4%",""
"Asian alone, percent","(a)","7.8%","","2.3%","","1.6%","","6.6%","","2.6%","","15.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%","","0.3%","","0.2%","","0.3%","","0.3%","","0.4%",""
"Two or More Races, percent","","3.2%","","3.9%","","4.0%","","4.0%","","2.6%","","3.1%",""
"Hispanic or Latino, percent","(b)","61.0%","","25.8%","","12.1%","","16.3%","","58.8%","","48.6%",""
"White alone, not Hispanic or Latino, percent","","26.5%","","64.3%","","79.3%","","71.1%","","33.2%","","26.1%",""
"Veterans, 2015-2019","","9,225","","5,941","","1,485","","10,516","","6,317","","261,742",""
"Foreign born persons, percent, 2015-2019","","26.3%","","12.4%","","5.8%","","18.1%","","20.2%","","34.0%",""
"Housing units,  July 1, 2019,  (V2019)","","86,388","","41,027","","10,445","","113,344","","51,438","","3,579,329",""
"Owner-occupied housing unit rate, 2015-2019","","52.2%","","59.9%","","68.4%","","63.7%","","64.1%","","45.8%",""
"Median value of owner-occupied housing units, 2015-2019","","$252,700","","$377,500","","$275,700","","$995,800","","$251,200","","$583,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,493","","$1,906","","$1,659","","$3,649","","$1,551","","$2,498",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$460","","$499","","$447","","$922","","$478","","$608",""
"Median gross rent, 2015-2019","","$1,021","","$1,146","","$929","","$2,069","","$1,014","","$1,460",""
"Building permits, 2019","","948","","132","","35","","240","","644","","21,565",""
"Households, 2015-2019","","80,008","","34,408","","7,643","","105,432","","44,881","","3,316,795",""
"Persons per household, 2015-2019","","3.32","","2.47","","2.13","","2.40","","3.28","","2.99",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","86.6%","","86.9%","","87.6%","","86.4%","","87.9%","","89.7%",""
