"Fact","Fact Note","Orange County, California","Value Note for Orange County, California","Nevada County, California","Value Note for Nevada County, California","Napa County, California","Value Note for Napa County, California","Monterey County, California","Value Note for Monterey County, California","Mono County, California","Value Note for Mono County, California","Modoc County, California","Value Note for Modoc County, California"
"Population estimates, July 1, 2019,  (V2019)","","3,175,692","","99,755","","137,744","","434,061","","14,444","","8,841",""
"Population estimates base, April 1, 2010,  (V2019)","","3,008,989","","98,747","","136,535","","415,059","","14,206","","9,682",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","5.5%","","1.0%","","0.9%","","4.6%","","1.7%","","-8.7%",""
"Population, Census, April 1, 2010","","3,010,232","","98,764","","136,484","","415,057","","14,202","","9,686",""
"Persons under 5 years, percent","","5.8%","","4.2%","","4.8%","","6.9%","","4.8%","","4.8%",""
"Persons under 18 years, percent","","21.7%","","17.0%","","20.2%","","26.0%","","17.8%","","19.4%",""
"Persons 65 years and over, percent","","15.3%","","28.4%","","19.7%","","14.0%","","16.1%","","27.5%",""
"Female persons, percent","","50.7%","","50.9%","","50.2%","","49.1%","","47.0%","","49.7%",""
"White alone, percent","","71.1%","","93.3%","","83.6%","","82.8%","","90.1%","","88.2%",""
"Black or African American alone, percent","(a)","2.1%","","0.6%","","2.5%","","3.4%","","0.8%","","1.4%",""
"American Indian and Alaska Native alone, percent","(a)","1.0%","","1.3%","","1.3%","","2.6%","","2.9%","","5.1%",""
"Asian alone, percent","(a)","21.7%","","1.5%","","8.9%","","6.7%","","2.6%","","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%","","0.2%","","0.4%","","0.6%","","0.4%","","0.4%",""
"Two or More Races, percent","","3.6%","","3.1%","","3.3%","","3.8%","","3.3%","","3.7%",""
"Hispanic or Latino, percent","(b)","34.0%","","9.8%","","34.6%","","59.4%","","26.8%","","14.6%",""
"White alone, not Hispanic or Latino, percent","","39.8%","","84.7%","","51.8%","","29.4%","","65.8%","","77.2%",""
"Veterans, 2015-2019","","107,811","","8,015","","7,363","","16,874","","705","","780",""
"Foreign born persons, percent, 2015-2019","","30.1%","","4.8%","","22.1%","","29.8%","","19.7%","","7.5%",""
"Housing units,  July 1, 2019,  (V2019)","","1,118,110","","54,809","","55,647","","143,201","","14,208","","5,276",""
"Owner-occupied housing unit rate, 2015-2019","","57.4%","","74.2%","","64.2%","","51.0%","","64.4%","","74.9%",""
"Median value of owner-occupied housing units, 2015-2019","","$679,300","","$431,000","","$635,900","","$516,600","","$312,500","","$140,600",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$2,789","","$2,112","","$2,665","","$2,265","","$1,851","","$1,149",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$651","","$628","","$675","","$593","","$538","","$334",""
"Median gross rent, 2015-2019","","$1,854","","$1,273","","$1,700","","$1,495","","$1,206","","$717",""
"Building permits, 2019","","8,989","","502","","749","","480","","69","","6",""
"Households, 2015-2019","","1,037,492","","40,855","","48,705","","127,155","","4,765","","3,616",""
"Persons per household, 2015-2019","","3.01","","2.40","","2.78","","3.27","","2.93","","2.33",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","87.3%","","89.1%","","88.9%","","88.2%","","83.9%","","83.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","45.6%","","7.6%","","34.9%","","55.2%","","26.3%","","12.8%",""
"Households with a computer, percent, 2015-2019","","95.3%","","92.6%","","93.6%","","90.5%","","92.6%","","78.3%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","90.7%","","85.7%","","89.1%","","84.2%","","84.1%","","69.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","85.5%","","94.4%","","85.5%","","71.5%","","88.6%","","84.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","40.6%","","37.2%","","35.7%","","24.7%","","28.8%","","15.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","5.0%","","9.3%","","7.5%","","5.5%","","4.0%","","8.9%",""
"Persons  without health insurance, under age 65 years, percent","","8.1%","","6.8%","","8.0%","","11.9%","","10.2%","","9.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","65.5%","","54.7%","","65.1%","","59.5%","","72.0%","","43.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","58.4%","","49.6%","","60.1%","","54.3%","","70.5%","","44.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","9,050,642","","231,154","","774,149","","1,328,768","","246,872","","8,304",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","20,682,197","","525,893","","1,360,685","","2,150,972","","69,406","","33,918",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","47,299,399","","319,706","","4,623,531","","2,258,929","","D","","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","97,795,982","","D","","D","","5,775,222","","D","","D",""
"Total retail sales, 2012 ($1,000)","(c)","45,193,625","","1,012,263","","1,699,004","","4,457,401","","139,784","","45,741",""
"Total retail sales per capita, 2012","(c)","$14,625","","$10,299","","$12,219","","$10,445","","$9,742","","$4,904",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","28.0","","25.5","","25.6","","23.4","","15.1","","16.1",""
"Median household income (in 2019 dollars), 2015-2019","","$90,234","","$66,096","","$88,596","","$71,015","","$62,260","","$45,507",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$41,514","","$39,233","","$45,195","","$30,073","","$34,552","","$22,843",""
