"Fact","Fact Note","Colusa County, California","Value Note for Colusa County, California","Calaveras County, California","Value Note for Calaveras County, California","Butte County, California","Value Note for Butte County, California","Amador County, California","Value Note for Amador County, California","Alpine County, California","Value Note for Alpine County, California","Alameda County, California","Value Note for Alameda County, California"
"Population estimates, July 1, 2019,  (V2019)","","21,547","","45,905","","219,186","","39,752","","1,129","","1,671,329",""
"Population estimates base, April 1, 2010,  (V2019)","","21,407","","45,578","","220,005","","38,091","","1,175","","1,510,258",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","0.7%","","0.7%","","-0.4%","","4.4%","","-3.9%","","10.7%",""
"Population, Census, April 1, 2010","","21,419","","45,578","","220,000","","38,091","","1,175","","1,510,271",""
"Persons under 5 years, percent","","6.9%","","4.5%","","5.5%","","4.1%","","4.3%","","5.7%",""
"Persons under 18 years, percent","","27.1%","","17.1%","","20.3%","","15.1%","","17.7%","","20.3%",""
"Persons 65 years and over, percent","","14.9%","","28.0%","","18.4%","","27.5%","","26.4%","","14.3%",""
"Female persons, percent","","49.1%","","50.2%","","50.5%","","45.6%","","46.1%","","50.7%",""
"White alone, percent","","91.1%","","91.0%","","85.7%","","89.6%","","67.9%","","49.3%",""
"Black or African American alone, percent","(a)","1.3%","","1.1%","","1.9%","","2.7%","","0.4%","","11.0%",""
"American Indian and Alaska Native alone, percent","(a)","2.8%","","2.0%","","2.5%","","2.3%","","25.7%","","1.1%",""
"Asian alone, percent","(a)","1.6%","","1.9%","","5.0%","","1.7%","","1.6%","","32.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.6%","","0.3%","","0.3%","","0.3%","","X","","0.9%",""
"Two or More Races, percent","","2.7%","","3.9%","","4.6%","","3.4%","","4.4%","","5.4%",""
"Hispanic or Latino, percent","(b)","60.4%","","13.0%","","17.2%","","14.5%","","12.3%","","22.3%",""
"White alone, not Hispanic or Latino, percent","","34.1%","","79.9%","","70.9%","","77.3%","","61.3%","","30.6%",""
"Veterans, 2015-2019","","830","","4,491","","14,209","","3,810","","79","","48,602",""
"Foreign born persons, percent, 2015-2019","","27.0%","","4.8%","","7.3%","","6.0%","","5.1%","","32.5%",""
"Housing units,  July 1, 2019,  (V2019)","","8,125","","28,181","","86,209","","18,625","","1,782","","622,922",""
"Owner-occupied housing unit rate, 2015-2019","","61.0%","","77.8%","","59.0%","","76.5%","","84.0%","","53.5%",""
"Median value of owner-occupied housing units, 2015-2019","","$265,200","","$319,500","","$271,700","","$313,700","","$365,300","","$769,300",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,590","","$1,891","","$1,640","","$1,774","","$1,875","","$2,931",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$458","","$565","","$488","","$561","","$515","","$690",""
"Median gross rent, 2015-2019","","$889","","$1,339","","$1,060","","$1,103","","$538","","$1,797",""
"Building permits, 2019","","37","","117","","1,426","","119","","5","","6,402",""
"Households, 2015-2019","","7,227","","16,942","","85,320","","14,594","","350","","577,177",""
"Persons per household, 2015-2019","","2.94","","2.66","","2.57","","2.38","","2.87","","2.82",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","87.8%","","89.0%","","81.2%","","87.7%","","90.9%","","87.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","51.7%","","7.2%","","15.3%","","10.6%","","9.7%","","45.6%",""
"Households with a computer, percent, 2015-2019","","86.8%","","89.6%","","92.5%","","90.8%","","92.9%","","94.3%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","81.0%","","82.3%","","85.4%","","84.6%","","82.6%","","88.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","71.3%","","90.2%","","89.2%","","90.0%","","91.2%","","88.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","15.0%","","18.3%","","27.2%","","19.3%","","34.5%","","47.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","8.9%","","15.1%","","12.6%","","12.6%","","12.8%","","5.6%",""
"Persons  without health insurance, under age 65 years, percent","","11.5%","","7.4%","","7.7%","","6.0%","","7.0%","","5.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","62.3%","","47.4%","","56.3%","","44.1%","","46.0%","","67.0%",""
