"Fact","Fact Note","Lassen County, California","Value Note for Lassen County, California","Lake County, California","Value Note for Lake County, California","Kings County, California","Value Note for Kings County, California","Kern County, California","Value Note for Kern County, California","Inyo County, California","Value Note for Inyo County, California","Imperial County, California","Value Note for Imperial County, California"
"Population estimates, July 1, 2019,  (V2019)","","30,573","","64,386","","152,940","","900,202","","18,039","","181,215",""
"Population estimates base, April 1, 2010,  (V2019)","","34,895","","64,662","","152,974","","839,621","","18,542","","174,524",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-12.4%","","-0.4%","","0.0%","","7.2%","","-2.7%","","3.8%",""
"Population, Census, April 1, 2010","","34,895","","64,665","","152,982","","839,631","","18,546","","174,528",""
"Persons under 5 years, percent","","4.8%","","5.9%","","7.6%","","7.6%","","5.5%","","8.0%",""
"Persons under 18 years, percent","","17.3%","","21.2%","","27.0%","","28.8%","","20.7%","","28.5%",""
"Persons 65 years and over, percent","","15.5%","","23.1%","","10.5%","","11.2%","","23.4%","","13.3%",""
"Female persons, percent","","37.8%","","50.0%","","44.9%","","48.8%","","49.9%","","48.7%",""
"White alone, percent","","80.9%","","87.0%","","80.8%","","82.3%","","79.8%","","90.2%",""
"Black or African American alone, percent","(a)","8.4%","","2.1%","","7.5%","","6.3%","","1.2%","","3.3%",""
"American Indian and Alaska Native alone, percent","(a)","4.3%","","4.5%","","3.2%","","2.6%","","13.5%","","2.5%",""
"Asian alone, percent","(a)","1.6%","","1.4%","","4.4%","","5.4%","","1.7%","","2.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.9%","","0.3%","","0.4%","","0.3%","","0.2%","","0.2%",""
"Two or More Races, percent","","4.0%","","4.7%","","3.7%","","3.2%","","3.6%","","1.7%",""
"Hispanic or Latino, percent","(b)","19.3%","","22.0%","","55.3%","","54.6%","","23.4%","","85.0%",""
"White alone, not Hispanic or Latino, percent","","64.7%","","68.9%","","31.3%","","32.8%","","60.8%","","10.0%",""
"Veterans, 2015-2019","","1,984","","5,360","","9,684","","35,594","","1,526","","5,528",""
"Foreign born persons, percent, 2015-2019","","5.6%","","8.7%","","18.9%","","19.9%","","9.3%","","30.7%",""
"Housing units,  July 1, 2019,  (V2019)","","12,784","","34,572","","46,965","","302,898","","9,609","","58,280",""
"Owner-occupied housing unit rate, 2015-2019","","67.6%","","66.4%","","52.3%","","58.3%","","65.5%","","58.3%",""
"Median value of owner-occupied housing units, 2015-2019","","$203,000","","$219,400","","$215,900","","$213,900","","$269,100","","$195,800",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,449","","$1,561","","$1,459","","$1,527","","$1,873","","$1,458",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$389","","$505","","$446","","$452","","$483","","$451",""
"Median gross rent, 2015-2019","","$956","","$978","","$990","","$978","","$919","","$830",""
"Building permits, 2019","","12","","88","","409","","2,261","","8","","398",""
"Households, 2015-2019","","9,280","","25,660","","43,452","","270,282","","7,950","","44,829",""
"Persons per household, 2015-2019","","2.26","","2.46","","3.13","","3.17","","2.18","","3.81",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","73.5%","","82.6%","","81.9%","","86.1%","","88.5%","","88.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","18.4%","","16.2%","","41.5%","","44.2%","","17.2%","","76.5%",""
"Households with a computer, percent, 2015-2019","","85.2%","","87.4%","","90.5%","","87.5%","","91.6%","","87.2%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","78.8%","","76.6%","","80.4%","","79.7%","","80.3%","","77.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","83.2%","","85.8%","","73.4%","","74.1%","","88.6%","","69.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","12.9%","","15.5%","","14.7%","","16.4%","","27.2%","","15.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","13.3%","","13.4%","","8.6%","","7.8%","","6.6%","","9.1%",""
"Persons  without health insurance, under age 65 years, percent","","4.8%","","8.9%","","8.5%","","9.0%","","7.8%","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","34.6%","","50.9%","","51.8%","","58.0%","","58.3%","","52.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","49.4%","","48.2%","","51.5%","","52.4%","","56.6%","","51.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","35,984","","88,833","","378,595","","1,092,151","","99,615","","182,646",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","84,085","","256,618","","587,818","","3,675,000","","121,556","","511,132",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","X","","80,536","","2,904,014","","6,890,714","","D","","1,465,960",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D","","D","","746,638","","6,987,888","","D","","1,599,144",""
"Total retail sales, 2012 ($1,000)","(c)","215,837","","522,337","","1,031,953","","8,640,550","","229,032","","1,676,853",""
"Total retail sales per capita, 2012","(c)","$6,413","","$8,164","","$6,818","","$10,092","","$12,383","","$9,477",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","20.6","","30.7","","22.8","","23.3","","16.5","","22.1",""
"Median household income (in 2019 dollars), 2015-2019","","$56,352","","$47,040","","$57,848","","$53,350","","$57,316","","$47,622",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$22,134","","$27,362","","$22,373","","$23,326","","$32,590","","$18,018",""
"Persons in poverty, percent","","16.5%","","18.3%","","16.0%","","19.0%","","11.7%","","22.0%",""
"Total employer establishments, 2018","","406","","1,104","","1,638","","13,040","","504","","2,561",""
"Total employment, 2018","","3,480","","9,951","","26,315","","197,072","","5,190","","32,846",""
"Total annual payroll, 2018 ($1,000)","","134,114","","407,417","","1,068,151","","9,024,948","","211,129","","1,165,728",""
"Total employment, percent change, 2017-2018","","-2.2%","","1.5%","","5.0%","","3.9%","","0.3%","","2.3%",""
"Total nonemployer establishments, 2018","","1,116","","3,898","","5,119","","49,553","","1,299","","10,098",""
"All firms, 2012","","1,236","","4,466","","6,091","","51,393","","1,717","","11,202",""
"Men-owned firms, 2012","","564","","2,293","","3,083","","25,177","","732","","5,340",""
"Women-owned firms, 2012","","410","","1,624","","2,112","","20,004","","591","","4,765",""
"Minority-owned firms, 2012","","231","","639","","2,862","","26,610","","362","","8,501",""
"Nonminority-owned firms, 2012","","938","","3,713","","2,876","","23,006","","1,256","","2,330",""
"Veteran-owned firms, 2012","","97","","503","","691","","3,770","","98","","608",""
"Nonveteran-owned firms, 2012","","1,025","","3,812","","5,039","","45,383","","1,552","","10,000",""
"Population per square mile, 2010","","7.7","","51.5","","110.1","","103.3","","1.8","","41.8",""
"Land area in square miles, 2010","","4,541.18","","1,256.46","","1,389.42","","8,131.92","","10,180.88","","4,176.60",""
"FIPS Code","","""06035""","","""06033""","","""06031""","","""06029""","","""06027""","","""06025""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
