"Fact","Fact Note","Santa Barbara County, California","Value Note for Santa Barbara County, California","San Mateo County, California","Value Note for San Mateo County, California","San Luis Obispo County, California","Value Note for San Luis Obispo County, California","San Joaquin County, California","Value Note for San Joaquin County, California","San Francisco County, California","Value Note for San Francisco County, California","San Diego County, California","Value Note for San Diego County, California"
"Population estimates, July 1, 2019,  (V2019)","","446,499","","766,573","","283,111","","762,148","","881,549","","3,338,330",""
"Population estimates base, April 1, 2010,  (V2019)","","423,947","","718,517","","269,597","","685,306","","805,184","","3,095,349",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","5.3%","","6.7%","","5.0%","","11.2%","","9.5%","","7.8%",""
"Population, Census, April 1, 2010","","423,895","","718,451","","269,637","","685,306","","805,235","","3,095,313",""
"Persons under 5 years, percent","","6.1%","","5.5%","","4.5%","","6.9%","","4.5%","","6.1%",""
"Persons under 18 years, percent","","22.1%","","20.2%","","17.5%","","26.8%","","13.4%","","21.4%",""
"Persons 65 years and over, percent","","15.7%","","16.6%","","20.9%","","13.1%","","16.1%","","14.5%",""
"Female persons, percent","","50.0%","","50.5%","","49.4%","","50.1%","","49.0%","","49.7%",""
"White alone, percent","","85.4%","","59.5%","","88.8%","","66.1%","","52.8%","","75.4%",""
"Black or African American alone, percent","(a)","2.4%","","2.8%","","2.0%","","8.3%","","5.6%","","5.5%",""
"American Indian and Alaska Native alone, percent","(a)","2.1%","","0.9%","","1.4%","","2.0%","","0.7%","","1.3%",""
"Asian alone, percent","(a)","6.0%","","30.6%","","4.0%","","17.4%","","36.0%","","12.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","1.5%","","0.2%","","0.8%","","0.5%","","0.6%",""
"Two or More Races, percent","","3.8%","","4.8%","","3.6%","","5.5%","","4.5%","","4.6%",""
"Hispanic or Latino, percent","(b)","46.0%","","24.0%","","22.9%","","42.0%","","15.2%","","34.1%",""
"White alone, not Hispanic or Latino, percent","","43.8%","","38.7%","","68.5%","","30.5%","","40.2%","","45.0%",""
"Veterans, 2015-2019","","21,027","","25,027","","16,767","","29,013","","23,619","","217,188",""
"Foreign born persons, percent, 2015-2019","","23.0%","","34.8%","","10.1%","","23.3%","","34.3%","","23.4%",""
"Housing units,  July 1, 2019,  (V2019)","","159,246","","280,450","","123,963","","248,636","","406,413","","1,233,777",""
"Owner-occupied housing unit rate, 2015-2019","","52.1%","","60.2%","","61.6%","","56.6%","","37.6%","","53.3%",""
"Median value of owner-occupied housing units, 2015-2019","","$577,400","","$1,089,400","","$574,000","","$342,100","","$1,097,800","","$563,700",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$2,364","","$3,533","","$2,351","","$1,907","","$3,647","","$2,578",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$634","","$765","","$613","","$523","","$704","","$621",""
"Median gross rent, 2015-2019","","$1,643","","$2,316","","$1,476","","$1,208","","$1,895","","$1,658",""
"Building permits, 2019","","1,175","","1,352","","1,094","","3,499","","3,200","","8,216",""
"Households, 2015-2019","","145,856","","263,543","","105,981","","228,567","","362,354","","1,125,286",""
